# h Omegab Omegam As ns w wa
6.216465295044615313e-01 5.298719095494369702e-02 3.536129214255559483e-01 2.009947005895066776e-09 9.862721872552340230e-01 -8.329549162488638636e-01 -6.474737760203248538e-01
6.099744917374518849e-01 5.473188244579845624e-02 3.063774361928066625e-01 1.898684768673427139e-09 9.557678723217881700e-01 -1.099637248737385553e+00 4.378360616815015760e-01
6.115822273001807474e-01 5.895628154599012738e-02 2.646958841567949583e-01 1.893507089423564789e-09 9.486766499818153342e-01 -8.097645857331065011e-01 1.034006846749141451e-01
7.194218191402765861e-01 5.526621312137088710e-02 2.664821560378533016e-01 1.978828938969915409e-09 9.271904358620098874e-01 -1.149956750440481512e+00 -7.518629543532351356e-01
6.129851647601778364e-01 5.146390781425150274e-02 3.866016169143001169e-01 2.458868689506468855e-09 9.177543384491101408e-01 -1.251668200402513698e+00 -3.178880372274357491e-01
7.214759924661339197e-01 4.258628652027609401e-02 3.423894494374490893e-01 1.901520111345616205e-09 9.595885783300605043e-01 -1.286424051489951648e+00 2.970531851302102844e-01
7.268652258682033462e-01 4.146240832419292172e-02 3.823256403128940661e-01 2.034540758631803936e-09 9.784223196355021912e-01 -8.923780157812822855e-01 4.210396891800609609e-01
7.264433976704005591e-01 4.884364876172201525e-02 3.988446161698863124e-01 2.081102011453852065e-09 9.310055440377167368e-01 -1.232247339690973220e+00 -1.390719704240580556e-01
6.382512438970654456e-01 5.524222416806020414e-02 3.487668245644509057e-01 2.158453068136034054e-09 9.805718598155359622e-01 -8.736539738975204195e-01 3.816967414038141548e-02
6.217885794998733173e-01 4.957527222995688349e-02 2.352717067433558185e-01 2.092680573436249413e-09 9.431358732682775248e-01 -1.242232984865818679e+00 1.006630648959253582e-01
6.427177645256145766e-01 5.203220526457054407e-02 2.683846745956403601e-01 1.843207392287529150e-09 9.961464711109078163e-01 -8.267657051815286984e-01 -6.471944680440789854e-01
6.908960348210166913e-01 4.497896993542281618e-02 3.885096058591943624e-01 1.915235474928657224e-09 9.608979699028828980e-01 -9.333530652099395475e-01 -3.539423907252161050e-01
6.407622713007499193e-01 5.564070919012380212e-02 3.027566565433397194e-01 1.769851895163851563e-09 9.945800360800858275e-01 -1.203458524814506658e+00 -4.687274833872389634e-01
6.986702996551524825e-01 4.600045349638614417e-02 3.151795783329054412e-01 2.055906360685515287e-09 9.722075353960206723e-01 -1.279701280852310719e+00 -2.027070657844132207e-03
7.291215135943442949e-01 5.014825213841876683e-02 2.470348900436762640e-01 2.477141680756534039e-09 9.529293994767555898e-01 -1.239074885110211355e+00 -5.350088952054156133e-01
7.012739775754159854e-01 5.912321524054905963e-02 2.796178376220159745e-01 1.921527306549349789e-09 9.215736452445346671e-01 -8.543872452701937181e-01 -2.878062444536904074e-01
